,ts_code,ann_date,end_date,type,p_change_min,p_change_max,net_profit_min,net_profit_max,last_parent_net,first_ann_date,summary,change_reason
0,000001.SZ,20160121,20151231,略增,5.0,15.0,2079206.0,2277225.0,1980200.0,20160121,预计净利润2079206-2277225万,
1,000001.SZ,20120130,20111231,预增,60.0,70.0,999446.0,1061912.0,628381.6,20120130,"净利润约999,446万元~1,061,912万元,增长60%~70%",
2,000001.SZ,20111015,20110930,预增,60.0,70.0,754914.0,802096.0,473394.0,20111015,"净利润754,914万元~802,096万元,增长60%~70%",
3,000001.SZ,20110713,20110630,预增,50.0,60.0,454968.0,485299.0,303311.9,20110713,"净利润约454,968万元~485,299万元,增长50%~60%",
4,000001.SZ,20110414,20110331,预增,50.0,60.0,236718.0,252499.0,157811.8,20110414,"净利润约236718万元~252499万元,增长50%~60%",
5,000001.SZ,20100127,20091231,预增,700.0,,500000.0,500000.0,61403.5,20091029,"净利润约50亿元,增长超过700%",
6,000001.SZ,20090113,20081231,预减,-77.0,-77.0,60000.0,60000.0,264990.3,20090113,"净利润约6亿元,下降约77%",
7,000001.SZ,20081013,20080930,预增,75.0,80.0,327900.0,337300.0,187361.7,20081013,增长75%到80%，为3279亿元至3373亿元,
8,000001.SZ,20080623,20080630,预增,85.0,95.0,207900.0,219200.0,112398.3,20080623,增长85%-95%，为2079亿元至2192亿元,
9,000001.SZ,20080415,20080331,预增,80.0,90.0,,,53508.3658,20080415,增长80%到90%,
10,000001.SZ,20080118,20071231,预增,100.0,110.0,,,130290.6538,20080118,增长100%到110%,
11,000001.SZ,20071015,20070930,预增,100.0,120.0,,,89029.5599,20071015,增长100%到120%,
12,000001.SZ,20070717,20070630,预增,125.0,145.0,,,46362.0662,20070717,增长125%-145%,
13,000001.SZ,20070126,20061231,预增,300.0,350.0,,,31100.764,20070126,增长300%-350%,
14,000001.SZ,20061013,20060930,预增,150.0,200.0,,,36642.3126,20061013,增长150%到200%,
15,000001.SZ,20060705,20060630,预增,150.0,200.0,,,15783.48,20060705,增长150%至200%,
