,ts_code,ann_date,end_date,holder_num
0,000001.SZ,20221025,20220930,547735
1,000001.SZ,20220818,20220630,493029
2,000001.SZ,20220427,20220331,508679
3,000001.SZ,20220310,20220228,506734
4,000001.SZ,20220310,20211231,502716
5,000001.SZ,20211021,20210930,390490
6,000001.SZ,20210820,20210630,296828
7,000001.SZ,20210421,20210331,331829
8,000001.SZ,20210202,20210201,290750
9,000001.SZ,20210202,20210129,290750
10,000001.SZ,20210202,20201231,308724
11,000001.SZ,20201022,20200930,351374
12,000001.SZ,20200828,20200630,431036
13,000001.SZ,20200421,20200331,397399
14,000001.SZ,20200214,20200131,340920
15,000001.SZ,20200214,20191231,322864
16,000001.SZ,20191022,20190930,299958
17,000001.SZ,20190808,20190630,321929
18,000001.SZ,20190424,20190331,354508
19,000001.SZ,20190307,20190228,369119
20,000001.SZ,20190307,20181231,429409
21,000001.SZ,20181024,20180930,406242
22,000001.SZ,20180816,20180630,435978
23,000001.SZ,20180420,20180331,421677
24,000001.SZ,20180315,20180228,392992
25,000001.SZ,20180315,20171231,343994
26,000001.SZ,20171021,20170930,331474
27,000001.SZ,20170811,20170630,379179
28,000001.SZ,20170422,20170331,371177
29,000001.SZ,20170317,20170228,349253
30,000001.SZ,20170317,20161231,350142
31,000001.SZ,20161021,20160930,340324
32,000001.SZ,20160812,20160630,340528
33,000001.SZ,20160421,20160331,341525
34,000001.SZ,20160310,20160229,347147
35,000001.SZ,20160310,20151231,332918
36,000001.SZ,20151023,20150930,358049
37,000001.SZ,20150814,20150630,418294
38,000001.SZ,20150424,20150331,313029
39,000001.SZ,20150313,20150306,335403
40,000001.SZ,20150313,20141231,275838
41,000001.SZ,20141024,20140930,311571
42,000001.SZ,20140814,20140630,298305
43,000001.SZ,20140424,20140331,319109
44,000001.SZ,20140307,20140228,310335
45,000001.SZ,20140307,20131231,298070
46,000001.SZ,20131213,20131130,274694
47,000001.SZ,20131023,20130930,291054
48,000001.SZ,20130823,20130630,281819
49,000001.SZ,20130424,20130331,256985
50,000001.SZ,20130308,20130301,233517
51,000001.SZ,20130308,20121231,263477
52,000001.SZ,20121026,20120930,281497
53,000001.SZ,20120816,20120630,283377
54,000001.SZ,20120426,20120331,275669
55,000001.SZ,20120309,20120229,269579
56,000001.SZ,20120309,20111231,272946
57,000001.SZ,20111026,20110930,274203
58,000001.SZ,20110818,20110630,285442
59,000001.SZ,20110427,20110331,341316
60,000001.SZ,20110225,20101231,352655
61,000001.SZ,20101028,20100930,339544
62,000001.SZ,20100825,20100630,295260
63,000001.SZ,20100429,20100331,252420
64,000001.SZ,20100312,20091231,230571
65,000001.SZ,20091029,20090930,260240
66,000001.SZ,20090821,20090630,243962
67,000001.SZ,20090424,20090331,248697
68,000001.SZ,20090320,20081231,295216
69,000001.SZ,20081024,20080930,248859
70,000001.SZ,20080821,20080630,264706
71,000001.SZ,20080424,20080331,269468
72,000001.SZ,20080320,20071231,250426
73,000001.SZ,20071023,20070930,184500
74,000001.SZ,20070816,20070630,272155
75,000001.SZ,20070426,20070331,295644
76,000001.SZ,20070322,20061231,406233
77,000001.SZ,20061026,20060930,510668
78,000001.SZ,20060818,20060630,543504
79,000001.SZ,20060426,20060331,602998
80,000001.SZ,20060401,20051231,621312
81,000001.SZ,20051029,20050930,630989
82,000001.SZ,20050819,20050630,645701
83,000001.SZ,20050426,20050331,658855
84,000001.SZ,20050426,20041231,666196
85,000001.SZ,20041023,20040930,672188
86,000001.SZ,20040831,20040630,676630
87,000001.SZ,20040415,20040331,673023
88,000001.SZ,20040415,20031231,702461
89,000001.SZ,20031029,20030930,704157
90,000001.SZ,20030820,20030630,695975
91,000001.SZ,20030424,20030331,680420
92,000001.SZ,20030424,20021231,676511
93,000001.SZ,20021025,20020930,642229
94,000001.SZ,20020814,20020630,688556
95,000001.SZ,20020419,20011231,778568
96,000001.SZ,20010414,20001231,810000
97,000001.SZ,20000725,20000630,764125
98,000001.SZ,20000419,19991231,705443
99,000001.SZ,19990423,19981231,914578
100,000001.SZ,19980826,19980630,918331
101,000001.SZ,19980312,19971231,833471
102,000001.SZ,,19961231,330500
103,000001.SZ,,19951231,180000
